id,title,content,frontmatter,status,created_at,updated_at
1,Introduction to Special Census,"<h2>Special Census Overview</h2><p>
</p><h2>What is the Special Census (SC) Program?</h2><p>
</p><p>The purpose of the <strong><em>Special Census</em> </strong>program is to enumerate the population and housing units at the request of your local government. Many states use special census population statistics to determine the distribution of state funds to local jurisdictions. Local jurisdictions may use the data to plan new schools, transportation systems, housing programs, or water treatment facilities. A Special Census is a basic enumeration of population, housing units (HUs), group quarters (GQ), and transitory locations (TL) conducted by the U.S. Census Bureau in the years between Decennial censuses; every 10 years, the national census, known as the Decennial Census. Local residents are hired and trained to conduct the Special Census. They are conducted on a cost-reimbursable basis. For Special Census purposes, a governmental unit is defined as the government of any state, county, city, or other political subdivision within a state, or the government of the District of Columbia or the government of any possession or area including political subdivisions, American Indian Reservations, or Alaskan Native villages. During a Special Census, Field Representatives (FRs) visit assigned areas and canvass, that is, travel systematically all streets, roads, and paths in the assigned area, to find all living quarters. While canvassing, they verify or update the Census Bureau's address lists, based on what they observe on the ground and through interviews with respondents. At each address identified as a housing unit, FRs interview an occupant and complete a Special Census questionnaire for the household. To measure the quality of the work performed, the Special Census program includes several quality control (QC) checks. Field Supervisors (FSs) review FR work progress. A separate team of FSs and FRs performs QC checks on completed assignments, which includes dependent quality checks and reinterviews.</p><p>
</p>",,revisions_requested,2025-08-14 23:50:50,2025-08-17 21:23:18
2,Why the Special Census Program Conducted,"The purpose of the Special Census program is to give governmental units an opportunity to conduct a census for their community in the years between Decennial Censuses.
Receiving up-to-date census information about their communities helps local and tribal governments to:


<ul>
<li>Be eligible for receiving increased state funds and grants for schools, hospitals, roads, public works, and other vital programs.</li>
<li>Improve the ability to plan for schools and better transportation.</li>
<li>Improve public safety and emergency preparedness.</li>
</ul>",,pending_review,2025-08-14 23:50:50,2025-08-17 16:46:37.755679
3,Where is the Special Census Program Conducted?,"A Special Census may be taken wherever a governmental unit determines it is beneficial: in counties, neighborhoods, governmental units, or other geographic areas in the United States and Puerto Rico.",,pending_review,2025-08-14 23:50:50,2025-08-17 16:50:00.668452
4,What is the Special Census Date?,"The U.S. Census Bureau and the local government will determine a reference date for collecting the data. This date is called the *Special Census Day*.
It is critical that all data collected are based on the status of the address on the Special Census Day.",,pending_review,2025-08-14 23:50:50,2025-08-17 16:51:40.006326
5,The U.S. Census Bureau,"## The Role of the U.S. Census Bureau
The Special Census program is conducted by the U.S. Census Bureau - the federal government's largest statistical agency.
As the leading source of quality data about the nation's people and economy, the Census Bureau honors privacy, protects confidentiality, shares our expertise globally, and conducts our work openly. The Census Bureau is guided on this mission by our strong and capable workforce, our readiness to innovate, and our abiding commitment to our customers.
The primary function of the Census Bureau is to conduct, every 10 years, the national census, known as the Decennial Census. The primary reason for conducting the Decennial Census is to determine the number of seats in the U.S. House of Representatives each state will have, based on its population. But there are many other reasons why the Decennial Census and other censuses, including Special Censuses, are important.
- Responses to the 2020 Census shape how more than \$675 billion in federal funding is distributed annually to local communities.
- Responses determines further political representation in Congress.
- Population totals and breakdowns by sex, age, race, and other factors inform decisions about distribution of Federal funds, grants and support to states, counties, and communities.
- Governments and businesses use Census results to plan new investments, services, and jobs.
- Developers use census data to build new homes and revitalize old neighborhoods.
- Local governments use census data for public safety and emergency preparedness.
- Residents use census data to support community initiatives involving legislation, quality-of-life, and consumer advocacy.
- The census has always been a record of our history. The 2020 Census will shape a roadmap for our future.
Refer to Appendix A to learn about other surveys the Census Bureau may be conducting at regular or irregular intervals in the Special Census enumeration areas.",,pending_review,2025-08-14 23:50:50,2025-08-17 16:25:31.857365
6,Who's Who in the Special Census,"## Overview
A Special Census has positions at the Special Census Office (SCO) and in the field. The following sections provide a concise summary of various job positions and their respective responsibilities
Your role in the office is crucial for the success of the Special Census and it ensures the collection of high-quality data.",,pending_review,2025-08-14 23:50:50,2025-08-17 16:28:22.704201
7,Structure of the Census Bureau Staff,Conducting a Special Census is an involved process that takes many people to maintain.,,pending_review,2025-08-14 23:50:50,2025-08-17 16:39:40.472467
8,Census Bureau Headquarters,"The U.S. Census Bureau Headquarters in Suitland, MD developed the Special Census program, including training materials and procedures used by Regional Offices (RO), Special Census Office (SCO), and field staff. Census Bureau Headquarters oversees the ROs.",,pending_review,2025-08-14 23:50:50,2025-08-17 21:34:14.798271
9,Regional Office (RO),"ROs are permanent offices that coordinate and carry out survey and census field data collection operations for the Census Bureau and its customers. ROs oversee the SCOs. The ROs are:
**New York (RO# 2200).** Located in New York, NY, the NYRO serves Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Puerto Rico, Rhode Island, and Vermont.
**Philadelphia (RO# 2300).** Located in Philadelphia, PA, the PHRO serves Delaware, District of Columbia, Kentucky, Maryland, Ohio, Pennsylvania, Tennessee, Virginia, and West Virginia.
**Chicago (RO# 2500).** Located in Chicago, IL, the CHRO serves Arkansas, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, and Wisconsin.
**Atlanta (RO# 2900).** Located in Atlanta, GA, the ATRO serves Alabama, Florida, Georgia, Louisiana, Mississippi, North Carolina, and South Carolina.
**Denver (RO# 3100).** Located in Lakewood, CO, the DNRO serves Arizona, Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, South Dakota, Oklahoma, Texas, Utah, and Wyoming.
**Los Angeles (RO# 3200).** Located in Burbank, CA the LARO serves Alaska, California, Hawaii, Idaho, Nevada, Oregon, and Washington.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
10,Special Census Office (SCO),SCOs are temporary offices established to conduct the Special Census program.,,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
11,Special Census Supervisor,"The Special Census Supervisor (SCS) works under the supervision of the RO Coordinator and manages all activities of the Special Census Office. The Special Census Supervisor performs the duties of the Field Manager (FM) when the Special Census does not hire a FM. The Special Census Office Supervisor:
- Reviews and certifies FR and FS payrolls in GovTA
- Assists with recruiting, at the discretion of the RO, if the governmental unit has not recruited enough applicants to work on the Special Census.
- Oversees clerical operations in the office, including the review of questionnaires and address registers as well as all Quality Control (QC) operations.
- Communicates with the Special Census Manager.
- Promptly responds to messages.
- Directs duties of SCO staff.
- Make final decision on reinterview questionnaire when there is a discrepancy with the original questionnaire.
- Monitors daily progress and performance reports.
- Meets with governmental units to discuss special census operations, office space, timing, publicity, and the status of local-recruiting efforts, when directed by the RO.
- Oversees the use of MOJO to track the flow of work to and from the field. MOJO activities include the check-out/check-in of address registers, the check-in of questionnaires and address registers and the keying of selected data.
- Takes corrective actions, as appropriate, to keep the operation on schedule.
- Transmits completed materials on a timely basis.
- Completes all special census final reports and transmitting them to the RO, HQ, and to governmental units, as appropriate.
- Manages the Special Census Field Managers (FMs).
- Is available for discussions with the FM.
- Performs the duties listed below under FM when the SCO does not hire a FM.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
12,Special Census Office Clerks,"Special Census clerks perform a variety of tasks in the Special Census Office. The office clerks:
- Prepare address registers (AR) for assignment.
- Checkout work to the Field Supervisors.
- Reassign work to Field Representatives after the FS makes assignments or reassignments.
- Check in completed assignments as work is returned to the SCO.
- Review completed work as it is returned to the SCO.
- Document errors on completed work that is returned to the SCO and return to the FS.
- Prepare Form SC-RQ, Special Census Reinterview Questionnaire, as production questionnaires are selected for Reinterview.
- Conduct telephone Reinterview, as assigned.
- Run daily reports and provide to the SCS and the FM.
- Assist with SCO closeout activities.
- Audit, enter time and validate timesheets for FRs and FSs.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
13,Special Census Field Manager (FM),"FMs directly manage Field Supervisors (FS). Each FM oversees approximately 6-8 FSs. FMs train FSs and monitor work assignments and work progress for each FS team. FMs also certify submitted FS payroll records and advise and assist FSs on personnel and performance issues. The FM is the main point of contact for all field activities. The Field Manager:
- Promptly responds to messages.
- Meets with FSs daily to discuss progress of the team's work, discuss performance, or conduct issues, provide guidance on difficult of unusual situations.
- Is available for phone calls from the Field Supervisor.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
14,Special Census Field Supervisor (FS),"FSs directly supervise Field Representatives (FRs). Each FS oversees a team of approximately 6-8 FRs. FSs train FRs, provide assignments, and monitor FR progress and performance as they conduct their work. FSs discuss FR conduct and performance issues with the FM. FSs also provides feedback on job performance and answer work-related questions.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
15,Special Census Field Representative (FR),"FRs are responsible for working the Special Census assignments. This work includes traveling to the assigned area, verifying or updating the provided address list, and conducting interviews with respondents to collect data as required for the Special Census.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
16,Employee Responsibilities,"## Become Familiar with Special Census Materials and Procedures
The SC-1202, Special Census Field Representative (FR) Manual contains specific FR instructions for conducting the Special Census field operation. The SC-1130, Special Census Field Supervisor (FS) Manual contains the specific instructions for supervising FRs in the field and the procedures for the quality assurance activities. The Special Census Supervisor (SCS) must be familiar with these documents to understand the Special Census operation. This manual, the SC-50, Special Census Office Manual, contains specific instructions for office staff.
Depending on the Special Census Office (SCO), Group Quarters (GQ) or Transitory Locations (TL) operations may be implemented in your Special Census area. The SC-569.12, Group Quarters Field Representative Manual and SC-569.30, Transitory Locations Field Representative Manual contain the specific instructions and procedures to conduct these operations in the field. The Special Census Supervisor may need to also be familiar with these documents to understand these operations and its implementation in the field.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
17,Title 13,"Protection under Title 13 of the U.S. Code guarantees confidentiality of census information and establishes penalties for disclosing this information.
This means that only people sworn to protect Title 13 data may see information the Census Bureau collects. Protected information cannot be shared with anyone who is not sworn to maintain the confidentiality of Title 13 protected data -- including the Federal Bureau of Investigation, Internal Revenue Service, or a court of law.
Unauthorized disclosure of confidential information by a sworn Census Bureau employee is punishable by a fine of up to \$250,000, imprisonment of up to 5 years, or both. You must never reveal census information to anyone who is not a sworn Census Bureau employee.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
18,Data Stewardship,"The Census Bureau workforce is bound to protect confidential information by an ironclad commitment backed by Federal law. Data Stewardship means providing quality data for public good while protecting individual privacy and confidentiality. This is the Census Bureau's core responsibility. We may not release personally identifiable information.
Data Stewardship assures the Census Bureau can effectively collect high quality data to be used by its customers while meeting the legal and reporting obligations of Title 13, the Privacy Act, and other applicable statutes. Keeping the public's trust is critical to our ability to carry out our mission as the leading source of quality data about the nation's people and economy.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
19,Ways to Maintain Confidentiality as a Data Steward,"Here are ways you can maintain the confidentiality of all census information:
- When not working, always lock your vehicle whenever Special Census materials are in it. Store Special Census materials out of view.
- Do not show the address lists, maps, or completed questionnaires to anyone.
- Be sure no one else can hear you if discussing Title 13 protected data with your manager in public places.
- Do not share personally identifiable information (PII) with another sworn Census Bureau employee who does not have a need to know.
- Always ask your manager if you are not sure whether something is considered personally identifiable information (PII).
Remember that when you took the confidentiality oath, you were sworn for life.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
20,The Privacy Act of 1974,"The Privacy Act of 1974 requires that each Federal agency advise people of their rights when collecting information from them. Specifically, a person must know under what law the information is being collected, how the information will be used and whether they must answer.
The SC-CN(E/S), Confidentiality Notice, contains the information required by the Privacy Act of 1974. Special Census staff must give a Confidentiality Notice to each person from whom they request census-related information. Never leave this notice at an address where no one is home or that is vacant. It must always be handed to a person.",,draft,2025-08-14 23:50:50,2025-08-14 23:50:50
